ORIGIN_MUNICIPIO,ORIGIN_COMUNA,ORIGIN_TIME,o_lat,o_long,DESTINATION_MUNICIPIO,DESTINATION_COMUNA,DESTINATION_TIME,d_lat,d_long,TRANSPORT_MODE_S1,TRIP_PURPOSE,ORIGIN_CLUSTER,DESTINATION_CLUSTER
Medellin,San Javier,20:30:00,6.251477957,-75.62800661,Medellin,San Javier,21:00:00,6.251142844,-75.62370254,Moto (Conductor),Casa,0,0
Medellin,San Javier,04:30:00,6.252003143,-75.62677065,Medellin,La Candelaria,05:15:00,6.230912665,-75.57383813,Moto (Conductor),Estudio,0,0
Medellin,La Candelaria,08:00:00,6.236356957,-75.56983219,Medellin,El Poblado,08:30:00,6.192416413,-75.57066637,Moto (Conductor),Trabajo,0,-1
Medellin,El Poblado,17:00:00,6.181515295,-75.56191763,Medellin,San Javier,18:05:00,6.25941889,-75.6084817,Moto (Conductor),Casa,-1,0
Medellin,San Javier,07:30:00,6.247501616,-75.63402387,Medellin,La America,08:00:00,6.252519941,-75.61505472,Moto (Conductor),Trabajo,-1,0
Medellin,La America,18:00:00,6.253360861,-75.60607223,Medellin,San Javier,18:30:00,6.270315445,-75.61470568,Moto (Conductor),Casa,0,0
Medellin,San Javier,06:20:00,6.261425037,-75.62149207,Medellin,La America,06:25:00,6.250551144,-75.60460683,Moto (Acompa?±ante),Estudio,0,0
Medellin,San Javier,07:30:00,6.255018752,-75.61991621,Medellin,Laureles-Estadio,08:00:00,6.248029737,-75.59953566,Moto (Conductor),Trabajo,0,0
Medellin,Laureles-Estadio,14:00:00,6.259876455,-75.59421142,Medellin,San Javier,14:30:00,6.258522997,-75.6221426,Moto (Conductor),Casa,0,0
Medellin,San Javier,06:00:00,6.26926813,-75.60058878,Medellin,Laureles-Estadio,06:40:00,6.248742816,-75.58469227,Moto (Conductor),Trabajo,0,0
Medellin,Laureles-Estadio,17:00:00,6.253859778,-75.5944476,Medellin,San Javier,18:00:00,6.264977974,-75.60591139,Moto (Conductor),Casa,0,0
Medellin,San Javier,08:30:00,6.254455306,-75.62814416,Medellin,El Poblado,09:10:00,6.196388972,-75.55447067,Moto (Conductor),Trabajo,0,1
Medellin,San Javier,05:00:00,6.251308581,-75.61988895,Medellin,La Candelaria,05:20:00,6.242457363,-75.56115678,Moto (Conductor),Estudio,0,214
Medellin,San Javier,06:00:00,6.248134229,-75.63564602,Medellin,El Poblado,07:00:00,6.185038092,-75.57817842,Moto (Acompa?±ante),Trabajo,-1,4
