,municipio_o,comuna_o,hora_o,municipio_d,comuna_d,hora_d,motivo_viaje,modo_tte,o_long,o_lat,d_long,d_lat
6876,Caldas,Urbana Caldas,05:30:00,Caldas,Urbana Caldas,06:00:00,Trabajo,Moto (Conductor),-75.67036474,6.098162969,-75.66906389,6.049352637
6877,Caldas,Urbana Caldas,14:00:00,Caldas,Urbana Caldas,14:30:00,Casa,Moto (Conductor),-75.59778149,6.057170978,-75.60145685,6.097671996
6878,Medellin,Aranjuez,05:50:00,Medellin,Villa Hermosa,06:00:00,Alguien,Moto (Conductor),-75.56568566,6.264673381,-75.54306008,6.242547052
6879,Medellin,Villa Hermosa,06:05:00,Medellin,Aranjuez,06:10:00,Casa,Moto (Conductor),-75.55595091,6.252729843,-75.56296875,6.280303848
6880,Medellin,Aranjuez,12:50:00,Medellin,Villa Hermosa,13:00:00,Alguien,Moto (Conductor),-75.56283041,6.283697567,-75.52562731,6.233181226
6881,Medellin,Villa Hermosa,13:05:00,Medellin,Aranjuez,13:15:00,Casa,Moto (Conductor),-75.54971374,6.25045314,-75.56906116,6.270227239
6882,Medellin,Aranjuez,05:50:00,Medellin,Villa Hermosa,06:00:00,Estudio,Moto (Acompa?帶nte),-75.56324884,6.267768853,-75.54765318,6.247274834
6883,Medellin,Villa Hermosa,13:00:00,Medellin,Aranjuez,13:15:00,Casa,Moto (Acompa?帶nte),-75.53824465,6.233505705,-75.56208807,6.270488707
6884,Medellin,Aranjuez,12:50:00,Medellin,Villa Hermosa,13:00:00,Alguien,Moto (Acompa?帶nte),-75.55894291,6.281685028,-75.55112915,6.244349743
6885,Medellin,Villa Hermosa,13:25:00,Medellin,Aranjuez,13:55:00,Casa,Moto (Acompa?帶nte),-75.54932151,6.260858503,-75.56341919,6.268739028
6886,Medellin,Aranjuez,08:00:00,Medellin,La Candelaria,08:20:00,Alguien,Moto (Conductor),-75.55589401,6.265563486,-75.57363468,6.256698856
6887,Medellin,La Candelaria,10:00:00,Medellin,Aranjuez,10:20:00,Casa,Moto (Conductor),-75.56662266,6.261335374,-75.55672548,6.280281912
6888,Medellin,Aranjuez,12:30:00,Medellin,La America,13:00:00,Trabajo,Moto (Conductor),-75.56088684,6.272831752,-75.60421982,6.258888032
6889,Medellin,La America,21:30:00,Medellin,Aranjuez,22:00:00,Casa,Moto (Conductor),-75.60988613,6.248662059,-75.56487961,6.265017023
6890,Medellin,Aranjuez,07:30:00,Bello,Rural Bello,08:00:00,Trabajo,Moto (Conductor),-75.55723805,6.282017384,-75.58159772,6.335810057
6891,Bello,Rural Bello,20:00:00,Medellin,Aranjuez,20:30:00,Casa,Moto (Conductor),-75.585957,6.369892532,-75.56696737,6.279627862
6892,Medellin,Aranjuez,04:00:00,Medellin,Doce de Octubre,04:15:00,Trabajo,Moto (Conductor),-75.56272175,6.271856782,-75.58339095,6.303809489
6893,Medellin,Doce de Octubre,15:00:00,Medellin,Aranjuez,15:15:00,Casa,Moto (Conductor),-75.57417069,6.307305697,-75.55662481,6.268571211
6894,Medellin,Aranjuez,05:25:00,Medellin,Corregimiento San Cristobal,05:56:00,Trabajo,Moto (Conductor),-75.57071521,6.267640875,-75.6702641,6.302806893
6895,Medellin,Corregimiento San Cristobal,15:05:00,Medellin,Aranjuez,15:38:00,Casa,Moto (Conductor),-75.66695853,6.306155111,-75.56539294,6.269258396
6896,Medellin,Aranjuez,17:00:00,Medellin,La Candelaria,17:35:00,Otro,Moto (Conductor),-75.55506014,6.286583181,-75.55831183,6.244830632
6897,Medellin,La Candelaria,19:20:00,Medellin,Aranjuez,19:56:00,Casa,Moto (Conductor),-75.56286807,6.25233434,-75.55506517,6.277484413
6898,Medellin,Manrique,13:00:00,Medellin,La Candelaria,13:30:00,Compras,Moto (Acompa?帶nte),-75.5462012,6.262926072,-75.56447736,6.242154576
6899,Medellin,La Candelaria,14:20:00,Medellin,Manrique,15:00:00,Casa,Moto (Acompa?帶nte),-75.5589939,6.260326219,-75.54488721,6.265280486
6900,Envigado,Zona 03,07:00:00,Medellin,El Poblado,07:30:00,Trabajo,Moto (Conductor),-75.58515581,6.118867594,-75.57242619,6.224818705
6901,Medellin,El Poblado,15:30:00,Envigado,Zona 03,16:00:00,Casa,Moto (Conductor),-75.56658299,6.178000531,-75.5686463,6.15337874
6902,Medellin,Aranjuez,05:00:00,Medellin,La Candelaria,05:30:00,Trabajo,Moto (Conductor),-75.56236213,6.271547679,-75.57005526,6.240546484
6903,Medellin,La Candelaria,14:00:00,Medellin,Aranjuez,14:30:00,Casa,Moto (Conductor),-75.57362778,6.258351019,-75.56003955,6.274248012
6904,Medellin,Aranjuez,07:50:00,Medellin,Laureles-Estadio,08:00:00,Alguien,Moto (Conductor),-75.55561909,6.26629,-75.61290079,6.242361144
6905,Medellin,Laureles-Estadio,08:05:00,Medellin,Aranjuez,08:15:00,Casa,Moto (Conductor),-75.58880269,6.243155924,-75.56098031,6.280452662
6906,Medellin,Laureles-Estadio,16:20:00,Medellin,Aranjuez,16:30:00,Casa,Moto (Acompa?帶nte),-75.60272426,6.237650385,-75.56267533,6.276868606
6907,Medellin,Aranjuez,09:40:00,Medellin,La Candelaria,10:00:00,Trabajo,Moto (Conductor),-75.55996975,6.277119219,-75.56831847,6.244077595
6908,Medellin,Aranjuez,14:35:00,Medellin,La Candelaria,14:50:00,Trabajo,Moto (Conductor),-75.5594019,6.286193053,-75.5744448,6.244859247
6909,Medellin,Laureles-Estadio,16:20:00,Medellin,Aranjuez,16:30:00,Casa,Moto (Conductor),-75.58036461,6.24341844,-75.56452765,6.280365793
6910,Medellin,Aranjuez,07:50:00,Medellin,Laureles-Estadio,08:00:00,Estudio,Moto (Acompa?帶nte),-75.55891731,6.268903003,-75.60859627,6.237986704
6911,Medellin,Laureles-Estadio,16:20:00,Medellin,Aranjuez,16:30:00,Casa,Moto (Acompa?帶nte),-75.58169531,6.246122296,-75.5682859,6.269008781
6912,Medellin,Manrique,04:50:00,Itagui,Itagui-Comuna 01,06:00:00,Trabajo,Moto (Conductor),-75.53709368,6.27664396,-75.595844,6.186221882
6913,Itagui,Itagui-Comuna 01,14:00:00,Medellin,Manrique,15:00:00,Casa,Moto (Conductor),-75.61490817,6.184126268,-75.5547666,6.261848616
6914,Envigado,Zona 09,07:20:00,Sabaneta,Urbana Sabaneta,07:36:00,Estudio,Moto (Conductor),-75.53041323,6.168206359,-75.60285307,6.119860808
6915,Medellin,Manrique,06:15:00,Medellin,Guayabal,07:00:00,Trabajo,Moto (Conductor),-75.54711199,6.269853351,-75.57744542,6.228535813
6916,Medellin,Guayabal,17:00:00,Medellin,Manrique,18:30:00,Casa,Moto (Conductor),-75.58456295,6.216105193,-75.54356779,6.265646263
6917,Medellin,Manrique,06:15:00,Medellin,Buenos Aires,07:00:00,Trabajo,Moto (Acompa?帶nte),-75.55027619,6.272360383,-75.5500073,6.233556229
6918,Medellin,Buenos Aires,17:00:00,Medellin,Manrique,18:30:00,Casa,Moto (Acompa?帶nte),-75.53199582,6.227716691,-75.55375073,6.271546162
6919,Envigado,Zona 05,06:54:00,Medellin,El Poblado,07:00:00,Trabajo,Moto (Conductor),-75.57125676,6.152865874,-75.55972551,6.187272857
6920,Medellin,El Poblado,13:00:00,Envigado,Zona 05,13:06:00,Casa,Moto (Conductor),-75.56668288,6.182400991,-75.55840046,6.154219758
6921,Medellin,Manrique,16:00:00,Medellin,La Candelaria,16:05:00,Compras,Moto (Acompa?帶nte),-75.54493152,6.268768989,-75.56743307,6.22725208
6922,Medellin,La Candelaria,16:40:00,Medellin,Aranjuez,16:45:00,Casa,Moto (Acompa?帶nte),-75.55988204,6.242853821,-75.56712378,6.281152376
6923,Medellin,Aranjuez,07:35:00,Medellin,Doce de Octubre,08:00:00,Estudio,Moto (Conductor),-75.55601521,6.282355771,-75.5811593,6.289614119
6924,Medellin,Aranjuez,15:45:00,Medellin,Manrique,15:50:00,Alguien,Moto (Conductor),-75.56903127,6.269132281,-75.54348201,6.271820368
6925,Medellin,Manrique,16:00:00,Medellin,La Candelaria,16:05:00,Alguien,Moto (Conductor),-75.53817845,6.275998899,-75.5696607,6.236338204
6926,Medellin,La Candelaria,16:40:00,Medellin,Aranjuez,16:45:00,Casa,Moto (Conductor),-75.56436357,6.248651124,-75.5670307,6.275936874
6927,Medellin,Manrique,06:00:00,Medellin,Laureles-Estadio,07:00:00,Trabajo,Moto (Acompa?帶nte),-75.54656707,6.281437758,-75.58398506,6.251770184
6928,Medellin,Laureles-Estadio,17:00:00,Medellin,Manrique,18:00:00,Casa,Moto (Acompa?帶nte),-75.599818,6.240079527,-75.54029991,6.264269202
6929,Medellin,Manrique,06:00:00,Medellin,Laureles-Estadio,06:30:00,Trabajo,Moto (Conductor),-75.54208171,6.278824449,-75.59354984,6.26036977
6930,Medellin,Laureles-Estadio,17:00:00,Medellin,Manrique,17:30:00,Casa,Moto (Conductor),-75.60592049,6.239841535,-75.55351027,6.272401411
6931,Medellin,Manrique,07:30:00,Medellin,Laureles-Estadio,08:30:00,Trabajo,Moto (Acompa?帶nte),-75.54646489,6.283965016,-75.59992476,6.243419611
6932,Medellin,Manrique,06:10:00,Medellin,La Candelaria,06:15:00,Estudio,Moto (Acompa?帶nte),-75.53931661,6.267149075,-75.57561475,6.235422314
6933,Medellin,Aranjuez,07:36:00,Medellin,Aranjuez,07:45:00,Trabajo,Moto (Conductor),-75.56062316,6.286253723,-75.55969579,6.264228611
6934,Medellin,Aranjuez,16:00:00,Medellin,Aranjuez,16:15:00,Casa,Moto (Conductor),-75.56848686,6.271772,-75.56859357,6.269413266
