ORIGIN_CLUSTER,DESTINATION_CLUSTER,FLOW_WEIGHT,ORIGIN_CENTROID_LON,ORIGIN_CENTROID_LAT,DESTINATION_CENTROID_LON,DESTINATION_CENTROID_LAT,DOMINANT_TIME_BIN,DOMINANT_ORIGIN_ZONE,DOMINANT_DESTINATION_ZONE,DISTANCE_KM,DISTANCE_BIN
6,210,1,-75.54028282,6.227744568,-75.56484398,6.256399862,OFF_PEAK,Buenos Aires,La Candelaria,4.186078850555613,Short
1,0,107,-75.55931263,6.198714745,-75.58057905,6.261773129,PM_PEAK,El Poblado,Robledo,7.395335303448955,Medium
0,5,16,-75.57921722,6.260332292,-75.52633258,6.235030016,PM_PEAK,La Candelaria,Villa Hermosa,6.4874090384559135,Medium
102,3,2,-75.56150774,6.251117415,-75.58142249,6.200991338,PM_PEAK,La Candelaria,Guayabal,5.992732092229498,Medium
108,224,1,-75.56801047,6.246546147,-75.6135003,6.269010353,PM_PEAK,La Candelaria,San Javier,5.6143844513224295,Medium
8,211,1,-75.57131236,6.181833624,-75.5762626,6.241439792,PM_PEAK,El Poblado,La Candelaria,6.650454360731706,Medium
1,207,1,-75.55931263,6.198714745,-75.5622245,6.261874492,PM_PEAK,El Poblado,La Candelaria,7.030415434079989,Medium
107,0,22,-75.57308543,6.23594142,-75.58057905,6.261773129,PM_PEAK,La Candelaria,Robledo,2.989399099101713,Short
4,223,1,-75.54166309,6.24883329,-75.56115287,6.265882567,PM_PEAK,Villa Hermosa,Aranjuez,2.869640984195116,Short
108,0,13,-75.56801047,6.246546147,-75.58057905,6.261773129,PM_PEAK,La Candelaria,Robledo,2.1901602930207207,Short
115,0,15,-75.57634923,6.251557255,-75.58057905,6.261773129,PM_PEAK,La Candelaria,Robledo,1.228404328249864,Short
0,6,51,-75.57921722,6.260332292,-75.54213488,6.24569529,PM_PEAK,La Candelaria,Villa Hermosa,4.410148945699527,Short
117,0,9,-75.56623934,6.226729989,-75.58057905,6.261773129,PM_PEAK,La Candelaria,Robledo,4.206661924069366,Short
106,0,13,-75.56683326,6.260308678,-75.58057905,6.261773129,PM_PEAK,La Candelaria,Robledo,1.528046798724476,Short
101,216,1,-75.56583297,6.254773422,-75.57222546,6.235146569,PM_PEAK,La Candelaria,La Candelaria,2.2939428346460904,Short
113,0,10,-75.57474342,6.254181206,-75.58057905,6.261773129,PM_PEAK,La Candelaria,Robledo,1.0624047136402355,Short
103,0,29,-75.5697882,6.23084439,-75.58057905,6.261773129,PM_PEAK,La Candelaria,Robledo,3.6400859309387417,Short
101,0,24,-75.56583297,6.254773422,-75.58057905,6.261773129,PM_PEAK,La Candelaria,Robledo,1.8062204649182978,Short
109,0,16,-75.57181869,6.261866639,-75.58057905,6.261773129,PM_PEAK,La Candelaria,Robledo,0.9683517495145392,Short
102,0,18,-75.56150774,6.251117415,-75.58057905,6.261773129,PM_PEAK,La Candelaria,Robledo,2.418175214460855,Short
0,223,11,-75.57921722,6.260332292,-75.56115287,6.265882567,PM_PEAK,La Candelaria,Aranjuez,2.089880667490097,Short
107,209,1,-75.57308543,6.23594142,-75.56561334,6.252521634,PM_PEAK,La Candelaria,La Candelaria,2.020186044973401,Short
107,206,1,-75.57308543,6.23594142,-75.56905344,6.258837203,PM_PEAK,La Candelaria,La Candelaria,2.584609539490473,Short
2,207,1,-75.54352748,6.238954295,-75.5622245,6.261874492,PM_PEAK,Villa Hermosa,La Candelaria,3.2812306489646414,Short
100,0,14,-75.57479261,6.244921286,-75.58057905,6.261773129,PM_PEAK,La Candelaria,Robledo,1.9799886999166412,Short
110,0,15,-75.5560925,6.249394913,-75.58057905,6.261773129,PM_PEAK,La Candelaria,Robledo,3.036440796507948,Short
104,0,8,-75.56396358,6.23766376,-75.58057905,6.261773129,PM_PEAK,La Candelaria,Robledo,3.2496016369604903,Short
0,7,8,-75.57921722,6.260332292,-75.55328222,6.260047494,PM_PEAK,La Candelaria,Villa Hermosa,2.866818883748041,Short
104,205,1,-75.56396358,6.23766376,-75.56783736,6.248924017,PM_PEAK,La Candelaria,La Candelaria,1.323276092344852,Short
109,217,1,-75.57181869,6.261866639,-75.57517956,6.244102996,PM_PEAK,La Candelaria,La Candelaria,2.0098570153660207,Short
103,6,2,-75.5697882,6.23084439,-75.54213488,6.24569529,PM_PEAK,La Candelaria,Villa Hermosa,3.4742425427564143,Short
112,6,1,-75.56686843,6.236241686,-75.54213488,6.24569529,PM_PEAK,La Candelaria,Villa Hermosa,2.929072641904719,Short
108,203,1,-75.56801047,6.246546147,-75.5766709,6.247090273,PM_PEAK,La Candelaria,La Candelaria,0.9591881284911745,Short
102,200,1,-75.56150774,6.251117415,-75.5722968,6.253891107,PM_PEAK,La Candelaria,La Candelaria,1.2317891915687238,Short
116,0,4,-75.56964787,6.257577563,-75.58057905,6.261773129,PM_PEAK,La Candelaria,Robledo,1.2951841490572715,Short
6,7,1,-75.54028282,6.227744568,-75.55328222,6.260047494,PM_PEAK,Buenos Aires,Villa Hermosa,3.868663928531684,Short
102,222,1,-75.56150774,6.251117415,-75.57029063,6.262437527,PM_PEAK,La Candelaria,La Candelaria,1.5896125200897369,Short
105,200,1,-75.58891401,6.262674588,-75.5722968,6.253891107,PM_PEAK,Laureles-Estadio,La Candelaria,2.080266144445089,Short
101,207,1,-75.56583297,6.254773422,-75.5622245,6.261874492,PM_PEAK,La Candelaria,La Candelaria,0.8846219691156242,Short
102,207,1,-75.56150774,6.251117415,-75.5622245,6.261874492,PM_PEAK,La Candelaria,La Candelaria,1.1987532483512529,Short
