,comuna_o,municipio_o,comuna_d,municipio_d,hora_o,hora_d,modo_tte,motivo_viaje,o_long,o_lat,d_long,d_lat
523,San Cristóbal,Bogotá,Teusaquillo,Bogotá,15:00:00,16:19:48,MOTO,Alguien,-74.04449514,4.535354996,-74.09963072,4.644275821
524,Teusaquillo,Bogotá,San Cristóbal,Bogotá,16:40:12,18:00:00,MOTO,Casa,-74.08659969,4.655681545,-74.0986601,4.549376536
525,San Cristóbal,Bogotá,Santa Fe,Bogotá,07:30:00,08:10:48,MOTO,Diligencia,-74.09987381,4.568120309,-74.00538026,4.592401973
526,Santa Fe,Bogotá,San Cristóbal,Bogotá,10:36:00,11:16:48,MOTO,Casa,-74.0686601,4.606315809,-74.0421512,4.553512379
527,Usme,Bogotá,Engativa,Bogotá,06:00:00,08:00:00,MOTO,Trabajo,-74.20426431,4.346030101,-74.09136148,4.696913789
528,Engativa,Bogotá,Usme,Bogotá,17:30:00,19:30:00,MOTO,Casa,-74.11759142,4.680971456,-74.18052554,4.370308126
529,Usme,Bogotá,Engativa,Bogotá,06:00:00,08:04:48,MOTO,Trabajo,-74.11165179,4.483138326,-74.13286025,4.70156716
530,Engativa,Bogotá,Usme,Bogotá,17:00:00,19:04:48,MOTO,Casa,-74.08340542,4.68368438,-74.1828937,4.32666078
531,Los Martires,Bogotá,Los Martires,Bogotá,06:43:48,07:19:12,MOTO,Diligencia,-74.09719419,4.601097746,-74.08780626,4.603553256
532,Los Martires,Bogotá,Los Martires,Bogotá,11:04:48,11:40:12,MOTO,Casa,-74.07863057,4.609528848,-74.08698103,4.613270004
533,Ciudad Bolivar,Bogotá,Antonio Nariño,Bogotá,05:00:00,06:10:12,MOTO,Diligencia,-74.16439187,4.451065733,-74.09764938,4.579684543
534,Antonio Nariño,Bogotá,Ciudad Bolivar,Bogotá,06:19:48,07:00:00,MOTO,Alguien,-74.10811066,4.595701903,-74.15396617,4.467324165
535,Ciudad Bolivar,Bogotá,Ciudad Bolivar,Bogotá,10:00:00,10:30:00,MOTO,Recreacion,-74.15113899,4.398632748,-74.19300587,4.388502983
536,Ciudad Bolivar,Bogotá,Ciudad Bolivar,Bogotá,17:00:00,18:00:00,MOTO,Casa,-74.13302983,4.479150989,-74.14471769,4.450456298
537,Fontibon,Bogotá,Rafael Uribe Uribe,Bogotá,09:00:00,10:10:12,MOTO,Recreacion,-74.14189352,4.69183467,-74.09908347,4.572726048
538,Rafael Uribe Uribe,Bogotá,Fontibon,Bogotá,10:19:12,11:25:12,MOTO,Casa,-74.11458871,4.579249565,-74.1198307,4.66613719
539,San Cristóbal,Bogotá,Teusaquillo,Bogotá,04:30:00,05:00:00,MOTO,Trabajo,-74.05830264,4.544923195,-74.07273963,4.620701401
540,Teusaquillo,Bogotá,San Cristóbal,Bogotá,18:30:00,19:00:00,MOTO,Casa,-74.08320694,4.640086893,-74.06419538,4.550010503
541,Engativa,Bogotá,Los Martires,Bogotá,07:00:00,07:45:00,MOTO,Diligencia,-74.09097071,4.699371753,-74.0819067,4.611907727
542,Los Martires,Bogotá,Engativa,Bogotá,09:00:00,09:30:00,MOTO,Casa,-74.08961337,4.592561562,-74.09921882,4.67842085
543,Kennedy,Bogotá,Engativa,Bogotá,04:30:00,05:00:00,MOTO,Trabajo,-74.16272348,4.619819703,-74.08864283,4.689508341
544,Engativa,Bogotá,Kennedy,Bogotá,17:00:00,17:30:00,MOTO,Casa,-74.13599339,4.728086282,-74.17257977,4.617223271
545,Usaquen,Bogotá,Usaquen,Bogotá,07:25:12,07:49:48,MOTO,Trabajo,-74.03053473,4.713529308,-74.01557152,4.757007832
546,Usaquen,Bogotá,Usaquen,Bogotá,17:04:12,17:28:48,MOTO,Casa,-74.01777871,4.812871799,-74.02358394,4.682149526
547,Chapinero,Bogotá,Usaquen,Bogotá,16:31:12,18:34:12,MOTO,Casa,-74.03634618,4.619549589,-74.03579016,4.744743732
548,Antonio Nariño,Bogotá,Kennedy,Bogotá,06:19:48,06:40:12,MOTO,Trabajo,-74.09890483,4.587093297,-74.14753217,4.636662997
549,Kennedy,Bogotá,Antonio Nariño,Bogotá,17:49:48,18:10:12,MOTO,Casa,-74.15688732,4.604144491,-74.10187122,4.589160821
550,Puente Aranda,Bogotá,Usaquen,Bogotá,13:30:00,14:00:00,MOTO,Trabajo,-74.1141565,4.629814195,-74.0226584,4.686002655
551,Usaquen,Bogotá,Puente Aranda,Bogotá,19:30:00,20:00:00,MOTO,Casa,-74.05057431,4.71448487,-74.11049738,4.642734825
552,Ciudad Bolivar,Bogotá,Ciudad Bolivar,Bogotá,06:15:00,06:30:00,MOTO,Trabajo,-74.13384531,4.479400505,-74.16922995,4.48039907
553,Ciudad Bolivar,Bogotá,Ciudad Bolivar,Bogotá,16:55:12,17:10:12,MOTO,Casa,-74.16041351,4.46695974,-74.16078635,4.532781685
554,San Cristóbal,Bogotá,Antonio Nariño,Bogotá,07:00:00,07:30:00,MOTO,Trabajo,-74.06845049,4.536590552,-74.0904288,4.584643155
555,Antonio Nariño,Bogotá,San Cristóbal,Bogotá,15:30:00,16:00:00,MOTO,Casa,-74.09864359,4.583798332,-74.07198792,4.546915283
556,Bosa,Bogotá,Barrios Unidos,Bogotá,07:00:00,08:00:00,MOTO,Trabajo,-74.18275302,4.630397044,-74.07425565,4.656646839
557,Barrios Unidos,Bogotá,Bosa,Bogotá,19:30:00,20:30:00,MOTO,Casa,-74.06056728,4.684185114,-74.20137816,4.646382908
558,Kennedy,Bogotá,Fontibon,Bogotá,13:00:00,13:30:00,MOTO,Trabajo,-74.1452579,4.658754404,-74.11714837,4.64505663
559,Fontibon,Bogotá,Kennedy,Bogotá,22:00:00,22:30:00,MOTO,Casa,-74.14916221,4.672118947,-74.16537269,4.613661613
560,Kennedy,Bogotá,Fontibon,Bogotá,13:00:00,13:30:00,MOTO,Trabajo,-74.15283667,4.640896147,-74.14672301,4.700093321
561,Fontibon,Bogotá,Kennedy,Bogotá,22:00:00,22:30:00,MOTO,Casa,-74.11414468,4.656272175,-74.15912986,4.619998891
562,Kennedy,Bogotá,Kennedy,Bogotá,06:40:12,07:00:00,MOTO,Trabajo,-74.16428554,4.62995249,-74.17086538,4.644566392
563,Kennedy,Bogotá,Puente Aranda,Bogotá,09:00:00,09:30:00,MOTO,Trabajo,-74.14142942,4.658877927,-74.12784499,4.59682265
564,Puente Aranda,Bogotá,Kennedy,Bogotá,13:00:00,13:30:00,MOTO,Trabajo,-74.10335479,4.606974046,-74.15098258,4.663815351
565,Kennedy,Bogotá,Kennedy,Bogotá,17:00:00,17:19:48,MOTO,Casa,-74.12744115,4.64476148,-74.14696056,4.605168672
566,Santa Fe,Bogotá,Suba,Bogotá,16:40:12,17:49:48,MOTO,Trabajo,-74.04284652,4.585901333,-74.0582349,4.800964975
567,Suba,Bogotá,Santa Fe,Bogotá,19:15:00,20:00:00,MOTO,Diligencia,-74.07156245,4.790383075,-74.06083629,4.596044745
568,Santa Fe,Bogotá,Chapinero,Bogotá,20:46:12,21:10:12,MOTO,Recreacion,-74.03218632,4.590981623,-74.02622791,4.660431557
569,Chapinero,Bogotá,Santa Fe,Bogotá,02:48:00,03:00:00,MOTO,Casa,-74.01245075,4.625909365,-74.06621615,4.606098401
570,Kennedy,Bogotá,Kennedy,Bogotá,06:00:00,07:00:00,MOTO,Casa,-74.14362425,4.636066373,-74.14172313,4.640333916
571,Kennedy,Bogotá,Chapinero,Bogotá,17:00:00,18:00:00,MOTO,Trabajo,-74.18010034,4.640069466,-74.04379533,4.64013501
572,Rafael Uribe Uribe,Bogotá,Rafael Uribe Uribe,Bogotá,09:00:00,09:04:48,MOTO,Trabajo,-74.10826706,4.569838907,-74.11012111,4.545929856
573,Rafael Uribe Uribe,Bogotá,Rafael Uribe Uribe,Bogotá,20:04:48,20:10:12,MOTO,Casa,-74.12094743,4.578215724,-74.11865384,4.566671426
574,Rafael Uribe Uribe,Bogotá,Rafael Uribe Uribe,Bogotá,09:00:00,09:04:48,MOTO,Trabajo,-74.10824422,4.541210509,-74.11981233,4.580481601
