,municipio_o,comuna_o,hora_o,municipio_d,comuna_d,hora_d,motivo_viaje,modo_tte,o_long,o_lat,d_long,d_lat
2260,Medellin,Villa Hermosa,05:00:00,Medellin,Laureles-Estadio,05:20:00,Trabajo,Moto (Conductor),-75.54382224,6.25962004,-75.5894356,6.249041888
2261,Medellin,Laureles-Estadio,17:30:00,Medellin,Villa Hermosa,18:00:00,Casa,Moto (Conductor),-75.58734248,6.242097738,-75.5382335,6.248851337
2262,Medellin,Villa Hermosa,05:00:00,Medellin,Guayabal,05:35:00,Trabajo,Moto (Conductor),-75.55118326,6.250266606,-75.59367895,6.201112954
2263,Medellin,Guayabal,17:30:00,Medellin,Villa Hermosa,18:00:00,Casa,Moto (Conductor),-75.58116163,6.221011434,-75.54142075,6.238594568
2264,Medellin,La America,07:00:00,Medellin,La Candelaria,07:30:00,Trabajo,Moto (Conductor),-75.61563769,6.243810119,-75.56309796,6.259904942
2265,Medellin,La Candelaria,18:00:00,Medellin,La America,18:50:00,Casa,Moto (Conductor),-75.56955657,6.258322415,-75.60862383,6.247404702
2266,Medellin,San Javier,06:30:00,Medellin,El Poblado,07:00:00,Trabajo,Moto (Conductor),-75.63046263,6.253328259,-75.58110788,6.191104912
2267,Medellin,El Poblado,16:00:00,Medellin,San Javier,16:40:00,Casa,Moto (Conductor),-75.57573141,6.230555843,-75.61397644,6.267635364
2268,Medellin,Robledo,06:15:00,Medellin,Guayabal,06:50:00,Trabajo,Moto (Conductor),-75.60177033,6.289432268,-75.59381753,6.212921031
2269,Medellin,Guayabal,16:45:00,Medellin,Robledo,17:30:00,Casa,Moto (Conductor),-75.58362957,6.222903707,-75.58655598,6.286130412
2270,Medellin,Robledo,21:30:00,Medellin,Castilla,21:50:00,Diligencia,Moto (Conductor),-75.57659055,6.280787795,-75.55888531,6.303331691
2271,Medellin,Castilla,23:50:00,Medellin,Robledo,23:59:00,Casa,Moto (Conductor),-75.56372595,6.302585567,-75.60866241,6.281895064
2272,Medellin,Robledo,06:00:00,Medellin,Castilla,06:15:00,Trabajo,Moto (Conductor),-75.58579167,6.268147699,-75.56030739,6.310964705
2273,Medellin,Castilla,17:15:00,Medellin,Robledo,17:30:00,Casa,Moto (Conductor),-75.56558642,6.305197069,-75.58884751,6.297643004
2274,Medellin,Villa Hermosa,07:00:00,Medellin,El Poblado,07:20:00,Trabajo,Moto (Acompa?帶nte),-75.5488065,6.249375904,-75.55391687,6.208481698
2275,Medellin,Villa Hermosa,07:30:00,Medellin,La Candelaria,07:45:00,Trabajo,Moto (Conductor),-75.5384401,6.2386136,-75.56793379,6.238986456
2276,Medellin,La Candelaria,15:45:00,Medellin,Villa Hermosa,16:00:00,Casa,Moto (Conductor),-75.56068377,6.25258783,-75.54492696,6.253395252
