ORIGIN_MUNICIPIO,ORIGIN_COMUNA,ORIGIN_TIME,o_lat,o_long,DESTINATION_MUNICIPIO,DESTINATION_COMUNA,DESTINATION_TIME,d_lat,d_long,TRANSPORT_MODE_S1,TRIP_PURPOSE
Bello,Bello-Comuna 02,06:30:00,6.358277636,-75.5984466,Medellin,La Candelaria,07:00:00,6.248891026,-75.56492873,Moto (Conductor),Trabajo
Medellin,La Candelaria,17:00:00,6.247964884,-75.56621709,Bello,Bello-Comuna 02,17:35:00,6.327568759,-75.61669575,Moto (Conductor),Casa
Bello,Bello-Comuna 11,10:00:00,6.364728669,-75.65565142,Medellin,Aranjuez,10:30:00,6.268861189,-75.55517789,Moto (Conductor),Diligencia
Medellin,Aranjuez,12:00:00,6.288798574,-75.56514287,Bello,Bello-Comuna 11,12:30:00,6.3111977,-75.54493021,Moto (Conductor),Casa
Bello,Bello-Comuna 02,05:30:00,6.342676143,-75.58038434,Bello,Bello-Comuna 04,06:00:00,6.337953157,-75.59644076,Moto (Conductor),Trabajo
Bello,Bello-Comuna 04,14:00:00,6.317324326,-75.62958286,Bello,Bello-Comuna 02,14:15:00,6.397883404,-75.57360675,Moto (Conductor),Casa
Bello,Bello-Comuna 01,08:00:00,6.365955501,-75.66366226,Medellin,La Candelaria,08:20:00,6.257859644,-75.57490035,Moto (Conductor),Trabajo
Medellin,La Candelaria,15:00:00,6.254095672,-75.56934435,Bello,Bello-Comuna 01,15:20:00,6.370568194,-75.64004455,Moto (Conductor),Casa
Bello,Bello-Comuna 01,06:00:00,6.345572988,-75.58119988,Bello,Bello-Comuna 11,06:20:00,6.419684486,-75.58464207,Moto (Acompa?±ante),Estudio
Bello,Bello-Comuna 11,11:30:00,6.343755598,-75.61918843,Bello,Bello-Comuna 02,12:15:00,6.372438034,-75.61176882,Moto (Acompa?±ante),Recreacion
Itagui,Itagui-Comuna 04,06:55:00,6.164717961,-75.63474474,Itagui,Itagui-Comuna 01,07:35:00,6.179733085,-75.61463312,Moto (Conductor),Estudio
Itagui,Itagui-Comuna 01,11:30:00,6.176716236,-75.62195321,Itagui,Itagui-Comuna 04,12:00:00,6.191514289,-75.58497512,Moto (Conductor),Casa
Medellin,Belen,05:45:00,6.234353319,-75.60855194,Medellin,Belen,06:00:00,6.226804033,-75.60650735,Moto (Acompa?±ante),Trabajo
Medellin,Belen,17:00:00,6.212677428,-75.60329891,Medellin,Belen,17:15:00,6.223792996,-75.59895338,Moto (Acompa?±ante),Casa
Medellin,Belen,05:45:00,6.233929415,-75.61222833,Medellin,Belen,06:00:00,6.236336701,-75.60109066,Moto (Conductor),Trabajo
Medellin,Belen,17:00:00,6.200155895,-75.59830078,Medellin,Belen,17:15:00,6.220647623,-75.59868498,Moto (Conductor),Casa
Medellin,San Javier,05:30:00,6.265832791,-75.61449809,Itagui,Itagui-Comuna 03,07:15:00,6.194826061,-75.60644534,Moto (Conductor),Trabajo
Itagui,Itagui-Comuna 03,18:30:00,6.190870537,-75.59247045,Medellin,San Javier,19:00:00,6.274882593,-75.60664426,Moto (Conductor),Casa
Medellin,Popular,12:00:00,6.292002447,-75.5454528,Medellin,San Javier,12:30:00,6.253676114,-75.62934816,Moto (Acompa?±ante),Casa
Itagui,Itagui-Comuna 04,09:30:00,6.162692886,-75.61220904,Medellin,El Poblado,10:00:00,6.216355248,-75.57688635,Moto (Acompa?±ante),Trabajo
Medellin,El Poblado,17:00:00,6.218784677,-75.57237571,Itagui,Itagui-Comuna 04,17:30:00,6.15667958,-75.62438568,Moto (Acompa?±ante),Casa
Itagui,Itagui-Comuna 06,21:40:00,6.186210517,-75.60626387,Itagui,Itagui-Comuna 04,22:05:00,6.176471463,-75.60227112,Moto (Acompa?±ante),Casa
Itagui,Itagui-Comuna 04,14:00:00,6.169371902,-75.62286371,Itagui,Itagui-Comuna 01,14:10:00,6.195049113,-75.61085086,Moto (Conductor),Diligencia
Itagui,Itagui-Comuna 01,17:30:00,6.182070049,-75.59965934,Itagui,Itagui-Comuna 04,17:40:00,6.178345115,-75.62045477,Moto (Conductor),Casa
Medellin,Corregimiento Altavista,06:30:00,6.212841915,-75.64025976,Itagui,Itagui-Comuna 01,07:00:00,6.179318221,-75.5933445,Moto (Conductor),Trabajo
Itagui,Itagui-Comuna 01,17:00:00,6.191646228,-75.61109084,Medellin,Corregimiento Altavista,17:45:00,6.251459258,-75.65222346,Moto (Conductor),Casa
Itagui,Itagui-Comuna 04,09:00:00,6.180600313,-75.62090564,Medellin,Belen,09:30:00,6.232331739,-75.60188604,Moto (Conductor),Trabajo
Medellin,Belen,19:00:00,6.210247683,-75.60560173,Itagui,Itagui-Comuna 04,19:25:00,6.189786619,-75.5897465,Moto (Conductor),Casa
Itagui,Itagui-Comuna 04,07:00:00,6.173562739,-75.62336152,Medellin,Belen,07:20:00,6.230655383,-75.59452022,Moto (Conductor),Trabajo
